Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 40, 25, 22, 18, 14, 11
Component 12, 40, 24, 21, 17, 14, 11
Component 13, 40, 24, 21, 17, 14, 11
Component 21, 60, 31, 23, 18, 12, 7
Component 22, 60, 32, 22, 18, 12, 7
Component 23, 60, 31, 23, 18, 12, 7
Component 31, 40, 21, 17, 13, 10, 7
Component 32, 40, 21, 17, 13, 10, 7
Component 33, 40, 21, 17, 13, 10, 7
Component 34, 40, 22, 17, 13, 10, 7
Component 35, 40, 21, 17, 13, 10, 7
Component 41, 100, 59, 50, 41, 31, 20
Component 42, 100, 61, 48, 39, 29, 19
Component 43, 100, 59, 50, 41, 31, 20
Component 50, 75, 54, 44, 34, 24, 15
Component 51, 30, 19, 16, 13, 10, 8
Component 52, 30, 20, 18, 15, 13, 10
Component 53, 30, 19, 16, 13, 10, 8
Component 60, 75, 55, 44, 34, 25, 15
