Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AX, 11/21/31/41/51, 204, 179, 154, 130, 106, 82
AY, 12/22/33/42/52, 183, 161, 139, 118, 97, 77
AZ, 13/23/35/43/53, 205, 180, 155, 131, 108, 85
BT1, 42/52/84, 174, 156, 138, 118, 98, 78
BT2, 42/52/87, 174, 155, 136, 116, 96, 76
BU1, 43/53/85, 196, 176, 156, 131, 106, 81
BU2, 43/53/88, 196, 176, 156, 131, 106, 81
BW1, 43/53/82, 196, 175, 154, 130, 106, 82
BW2, 43/53/83, 196, 175, 154, 130, 106, 82
BY1, 42/52/85, 176, 159, 142, 120, 98, 77
BY2, 42/52/88, 176, 159, 142, 120, 98, 77
BZ1, 43/53/86, 194, 174, 154, 129, 104, 79
CX1, 41/51/94, 192, 169, 146, 124, 102, 81
CY1, 42/52/95, 173, 152, 131, 112, 93, 75
CY2, 42/52/98, 173, 152, 131, 112, 93, 75
CZ1, 43/53/96, 188, 166, 144, 122, 101, 80
CZ2, 43/53/99, 187, 166, 145, 123, 102, 81
EV, 42/52/75, 175, 158, 141, 118, 96, 74
HY, 12/22/34/42/52, 183, 162, 141, 120, 100, 80
HZ, 13/23/36/43/53, 205, 179, 153, 130, 107, 84
S1, 11/21/31, –, 93, 79, 68, 58, 48
S3, 12/22/33, –, 92, 78, 67, 57, 47
S4, 12/22/34, –, 93, 80, 70, 60, 50
S5, 13/23/35, –, 94, 80, 70, 60, 51
S6, 13/23/36, –, 93, 78, 68, 59, 50
